smiles,is_standard_smiles,standardised_smiles,inchi_key
CCCCNC(=S)N/N=C/C1=C(C)C=CS1,False,CCCCNC(=S)N/N=C/c1sccc1C,SUTWUYBMBWPLMW-MDWZMJQESA-N
CN1C(SCC2=NC(C3=CC=CS3)=NO2)=NN=C1C1CCCCC1,False,Cn1c(SCc2nc(-c3cccs3)no2)nnc1C1CCCCC1,RIYHJWOTNJXDLV-UHFFFAOYSA-N
O=C(O)CC(NC(=O)C1=CN=CC=N1)C1=CC=CC=C1Cl,False,O=C(O)CC(NC(=O)c1cnccn1)c1ccccc1Cl,OGNBARHGQVMGGX-UHFFFAOYSA-N
O=S(=O)(C1=CC=CC=C1)N1CCN(C2=NOC3=CC=CC(Cl)=C23)CC1,False,O=S(=O)(c1ccccc1)N1CCN(c2noc3cccc(Cl)c23)CC1,WQEXDIRUOYNDCM-UHFFFAOYSA-N
CCC[C@@H](C)N(C1=CC(Cl)=CC=C1CO)S(=O)(=O)C1=CC=C(C)C=C1,False,CCC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(C)cc1,YEGVLLQDOGYWDQ-OAHLLOKOSA-N
CN1C(=O)C2=C(N=C(N3CCC[C@@H](N)C3)N2CC2=CC(F)=CC=C2Cl)C2=CC=C(C(=O)O)C=C12,False,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2cc(F)ccc2Cl)c2ccc(C(=O)O)cc21,CSYFJLPYVQTDCQ-MRXNPFEDSA-N
CNC(=O)C1=CC=CC2=C1N=C(C1=CC=CC=C1O)N2CC1=CC=CC=C1,False,CNC(=O)c1cccc2c1nc(-c1ccccc1O)n2Cc1ccccc1,JGGVCLFLOLHMSW-UHFFFAOYSA-N
C[C@]12CC[C@H](S)C[C@H]1CCC1C3=CC[C@H](C4=CC(=O)OC4)[C@@]3(C)CCC21,False,C[C@]12CCC3C(CC[C@@H]4C[C@@H](S)CC[C@]34C)C1=CC[C@@H]2C1=CC(=O)OC1,AKVQZCLFNIRFEL-UDISHMIDSA-N
CC1=C(C(=O)OCC2=CC=CC=C2)C(C2=CC=C(C3=CC=CC=C3C)C=C2)NC(=S)N1CCCCCC1=NN=NN1,False,CC1=C(C(=O)OCc2ccccc2)C(c2ccc(-c3ccccc3C)cc2)NC(=S)N1CCCCCc1nnn[nH]1,QCIMKMDGHYXCEB-UHFFFAOYSA-N
CC(C)CC1=CC(C(=O)NCC2=CC=CN=C2)=NO1,False,CC(C)Cc1cc(C(=O)NCc2cccnc2)no1,SDKIBDZIDPFNHT-UHFFFAOYSA-N
COC(=O)CC1NN=C2N(CCN2C2=CC=C(Cl)C=C2)C1=O,False,COC(=O)CC1NN=C2N(CCN2c2ccc(Cl)cc2)C1=O,CGVTXIMVAPAPNK-UHFFFAOYSA-N
CCN1C2=NC=C(COC3=CC=CC(C(=O)O)=C3)C=C2C(=O)N(C)C2=CC=C(Cl)N=C12,False,CCN1c2ncc(COc3cccc(C(=O)O)c3)cc2C(=O)N(C)c2ccc(Cl)nc21,LWTPUALMLDLRFE-UHFFFAOYSA-N
CC1=C(NC(=S)N/N=C\C2=CC=CC=C2O)C(=O)N(C2=CC=CC=C2)N1C,False,Cc1c(NC(=S)N/N=C\c2ccccc2O)c(=O)n(-c2ccccc2)n1C,OAGNFKCWXVXZJD-NDENLUEZSA-N
C[C@@H](O)C1=NC(C2=NC(C3=NC(CO)=CS3)=CS2)=CS1,False,C[C@@H](O)c1nc(-c2nc(-c3nc(CO)cs3)cs2)cs1,YBVUWGYHDUMFEA-ZCFIWIBFSA-N
CCCCCCCCCCCC(=O)CCCC,True,CCCCCCCCCCCC(=O)CCCC,GASJOQPNNSMIFF-UHFFFAOYSA-N
C=CC1=C(N)N=CN=C1N1CCC(C2=NC(C3=CC=C(C(F)(F)F)C(F)=C3)=CN2CCN2CCCC2)CC1,False,C=Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(C(F)(F)F)c(F)c3)cn2CCN2CCCC2)CC1,LTLAIOBQBYOIBO-UHFFFAOYSA-N
O=C1/C(=N/C2=CC=C(O)C=C2)C(Cl)=C(O)C2=CC=CC=C12,False,O=C1/C(=N/c2ccc(O)cc2)C(Cl)C(=O)c2ccccc21,IZMHGQZQXOJLKP-NBVRZTHBSA-N
